Id,Anime Title,Rating,Studio,Source Material,Demographic,Genre,VAs
'245','GreatTeacherOnizuka',8.69,Pierrot,Manga, 'Shounen',"['Comedy', 'Drama', 'Delinquents', 'School', 'Workplace', 'Shounen']","['TakagiWataru', 'WataruMitsuishi', 'MitsuishiKotono', 'KotonoCho', 'ChoMidorikawa', 'MidorikawaHikaru', 'HikaruKawasumi', 'KawasumiAyako', 'AyakoOrikasa', 'OrikasaFumiko', 'FumikoSeki', 'SekiTomokazu', 'TomokazuOkano', 'OkanoKousuke', 'KousukeNoda', 'NodaJunko', 'JunkoChiba', 'ChibaIsshin']"
'21','OnePiece',8.67,ToeiAnimation,Manga, 'Shounen',"['Action', 'Adventure', 'Fantasy', 'Shounen']","['TanakaMayumi', 'MayumiNakai', 'NakaiKazuya', 'KazuyaHirata', 'HirataHiroaki', 'HiroakiYamaguchi', 'YamaguchiYuriko', 'YurikoOotani', 'OotaniIkue', 'IkueOkamura', 'OkamuraAkemi', 'AkemiYamaguchi', 'YamaguchiKappei', 'KappeiCho', 'ChoYao', 'YaoKazuki', 'KazukiGouri', 'GouriDaisuke']"
'20','Naruto',7.97,Pierrot,Manga, 'Shounen',"['Action', 'Adventure', 'Fantasy', 'MartialArts', 'Shounen']","['TakeuchiJunko', 'JunkoInoue', 'InoueKazuhiko', 'KazuhikoSugiyama', 'SugiyamaNoriaki', 'NoriakiNakamura', 'NakamuraChie', 'ChieIshikawa', 'IshikawaHideo', 'HideoCanna', 'CannaNobutoshi', 'NobutoshiOotsuka', 'OotsukaHouchuu', 'HouchuuIshida', 'IshidaAkira', 'AkiraMizuki', 'MizukiNana', 'NanaMorikawa', 'MorikawaToshiyuki']"
'121','FullmetalAlchemist',8.12,Bones,Manga, 'Shounen',"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']","['ParkRomi', 'RomiKugimiya', 'KugimiyaRie', 'RieOokawa', 'OokawaTooru', 'TooruFujiwara', 'FujiwaraKeiji', 'KeijiSuwabe', 'SuwabeJunichi', 'JunichiNeya', 'NeyaMichiko', 'MichikoUtsumi', 'UtsumiKenji', 'KenjiToyoguchi', 'ToyoguchiMegumi', 'MegumiYamaguchi', 'YamaguchiMayumi', 'MayumiEbara', 'EbaraMasashi']"
'205','SamuraiChamploo',8.5,Manglobe,Original, 'n/a',"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai']","['NakaiKazuya', 'KazuyaSato', 'SatoGinpei', 'GinpeiKawasumi', 'KawasumiAyako', 'AyakoTamagawa', 'TamagawaSakiko', 'SakikoHidaka', 'HidakaNoriko', 'NorikoIshizuka', 'IshizukaUnshou', 'UnshouSugou', 'SugouTakayuki', 'TakayukiAfra', 'AfraWakamoto', 'WakamotoNorio', 'NorioYamadera', 'YamaderaKouichi']"
'19','Monster',8.84,Madhouse,Manga, 'Seinen',"['Drama', 'Mystery', 'Suspense', 'AdultCast', 'Psychological', 'Seinen']","['SasakiNozomu', 'NozomuKiuchi', 'KiuchiHidenobu', 'HidenobuNoto', 'NotoMamiko', 'MamikoTanaka', 'TanakaHideyuki', 'HideyukiIsobe', 'IsobeTsutomu', 'TsutomuKoyama', 'KoyamaMami', 'MamiTakeuchi', 'TakeuchiJunko', 'JunkoIkeda', 'IkedaShuuichi', 'ShuuichiNagai', 'NagaiIchiro', 'IchiroKatsube', 'KatsubeNobuyuki']"
'226','ElfenLied',7.5,Arms,Manga, 'Seinen',"['Action', 'Drama', 'Horror', 'Romance', 'Supernatural', 'Gore', 'Psychological', 'Seinen']","['KobayashiSanae', 'SanaeMatsuoka', 'MatsuokaYuki', 'YukiSuzuki', 'SuzukiChihiro', 'ChihiroHagiwara', 'HagiwaraEmiko', 'EmikoNoto', 'NotoMamiko', 'MamikoKawakami', 'KawakamiTomoko', 'TomokoNakata', 'NakataJouji', 'JoujiHosoi', 'HosoiOsamu', 'OsamuTakahashi', 'TakahashiMikako', 'MikakoYamamoto', 'YamamotoMaria']"
'269','Bleach',7.88,Pierrot,Manga, 'Shounen',"['Action', 'Adventure', 'Fantasy', 'Shounen']","['MoritaMasakazu', 'MasakazuOrikasa', 'OrikasaFumiko', 'FumikoItou', 'ItouKentarou', 'KentarouMatsuoka', 'MatsuokaYuki', 'YukiSugiyama', 'SugiyamaNoriaki', 'NoriakiYasumoto', 'YasumotoHiroki', 'HirokiTachiki', 'TachikiFumihiko', 'FumihikoMiki', 'MikiShinichiro', 'ShinichiroPark', 'ParkRomi', 'RomiNamikawa', 'NamikawaDaisuke']"
'457','Mushishi',8.67,Artland,Manga, 'Seinen',"['Adventure', 'Fantasy', 'Mystery', 'SliceofLife', 'Supernatural', 'AdultCast', 'Historical', 'Iyashikei', 'Seinen']","['NakanoYuto', 'YutoTsuzurahara', 'TsuzuraharaMiyu', 'MiyuDoi', 'DoiMika', 'MikaUeda', 'UedaYuuji', 'YuujiDoi', 'DoiMika', 'MikaHonjou', 'HonjouYuutaro', 'YuutaroOka', 'OkaAkiko', 'AkikoSanpei', 'SanpeiYuuko', 'YuukoMaeda', 'MaedaTakeshi', 'TakeshiNazuka', 'NazukaKaori']"
'356','Fate/staynight',7.29,StudioDeen,Visualnovel, 'n/a',"['Action', 'Fantasy', 'Romance', 'Supernatural']","['KawasumiAyako', 'AyakoUeda', 'UedaKana', 'KanaSuwabe', 'SuwabeJunichi', 'JunichiSugiyama', 'SugiyamaNoriaki', 'NoriakiKoyama', 'KoyamaRikiya', 'RikiyaSeki', 'SekiTomokazu', 'TomokazuShitaya', 'ShitayaNoriko', 'NorikoKadowaki', 'KadowakiMai', 'MaiNakata', 'NakataJouji', 'JoujiCanna', 'CannaNobutoshi']"
