Id,Anime Title,Rating,Studio,Source Material,Demographic,Genre,VAs
'35073','OverlordII',7.76,Madhouse,Lightnovel, 'n/a',"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Isekai', 'VideoGame']","['HinoSatoshi', 'SatoshiHara', 'HaraYumi', 'YumiUesaka', 'UesakaSumire', 'SumireNumakura', 'NumakuraManami', 'ManamiKatou', 'KatouMasayuki', 'MasayukiChiba', 'ChibaShigeru', 'ShigeruMiyano', 'MiyanoMamoru', 'MamoruShindou', 'ShindouKei', 'KeiKomatsu', 'KomatsuMikako', 'MikakoHanamori', 'HanamoriYumiri']"
'34612','SaikiKusuonoΨ-nan2',8.43,J.C.StaffEggFirm,Manga, 'Shounen',"['Comedy', 'Supernatural', 'GagHumor', 'School', 'Shounen']","['KamiyaHiroshi', 'HiroshiShimazaki', 'ShimazakiNobunaga', 'NobunagaOno', 'OnoDaisuke', 'DaisukeKayano', 'KayanoAi', 'AiHosoya', 'HosoyaYoshimasa', 'YoshimasaSugita', 'SugitaTomokazu', 'TomokazuKugimiya', 'KugimiyaRie', 'RieSakaguchi', 'SakaguchiDaisuke', 'DaisukeKitamura', 'KitamuraEri']"
'35860','KarakaiJouzunoTakagi-san',7.71,Shin-EiAnimation,Manga, 'Shounen',"['Comedy', 'Iyashikei', 'RomanticSubtext', 'School', 'Shounen']","['TakahashiRie', 'RieKaji', 'KajiYuuki', 'YuukiKohara', 'KoharaKonomi', 'KonomiOchiai', 'OchiaiFukushi', 'FukushiOgura', 'OguraYui', 'YuiIchimichi', 'IchimichiMao', 'MaoKoiwai', 'KoiwaiKotori', 'KotoriTadokoro', 'TadokoroHinata', 'HinataUchida', 'UchidaYuuma', 'YuumaOkamoto', 'OkamotoNobuhiko']"
'34382','Citrus',6.46,Passione,Manga, 'n/a',"['Drama', 'GirlsLove', 'Romance', 'School']","['TaketatsuAyana', 'AyanaTsuda', 'TsudaMinami', 'MinamiFujii', 'FujiiYukiyo', 'YukiyoIzawa', 'IzawaShiori', 'ShioriKanemoto', 'KanemotoHisako', 'HisakoMatsuzaki', 'MatsuzakiRei', 'ReiKubo', 'KuboYurika', 'YurikaUeda', 'UedaKana', 'KanaMaeno', 'MaenoTomoaki', 'TomoakiHayama', 'HayamaIkumi']"
'35839','SorayorimoTooiBasho',8.53,Madhouse,Original, 'n/a',"['Adventure', 'Comedy', 'Drama']","['HanazawaKana', 'KanaIguchi', 'IguchiYuka', 'YukaHayami', 'HayamiSaori', 'SaoriMinase', 'MinaseInori', 'InoriNoto', 'NotoMamiko', 'MamikoKanemoto', 'KanemotoHisako', 'HisakoLynn', 'LynnKayano', 'KayanoAi', 'AiMatsuoka', 'MatsuokaYoshitsugu', 'YoshitsuguFukushima', 'FukushimaJun']"
'34497','DeathMarchkaraHajimaruIsekaiKyousoukyoku',6.47,SILVERLINK.Connect,Lightnovel, 'n/a',"['Adventure', 'Fantasy', 'Harem', 'Isekai', 'Reincarnation']","['HorieShun', 'ShunYuuki', 'YuukiAoi', 'AoiTakahashi', 'TakahashiRie', 'RieOkuno', 'OkunoKaya', 'KayaKouno', 'KounoHiyori', 'HiyoriTsuda', 'TsudaMinami', 'MinamiHayase', 'HayaseMarika', 'MarikaEino', 'EinoAiri', 'AiriYasuno', 'YasunoKiyono', 'KiyonoAtsugi', 'AtsugiNanami']"
'34798','YuruCamp△',8.27,C-Station,Manga, 'n/a',"['SliceofLife', 'CGDCT', 'Iyashikei']","['TouyamaNao', 'NaoHanamori', 'HanamoriYumiri', 'YumiriToyosaki', 'ToyosakiAki', 'AkiHara', 'HaraSayuri', 'SayuriTakahashi', 'TakahashiRie', 'RieInoue', 'InoueMarina', 'MarinaItou', 'ItouShizuka', 'ShizukaOotsuka', 'OotsukaAkio', 'AkioMatsuda', 'MatsudaRisae', 'RisaeOotsuka', 'OotsukaAkio']"
'35222','GakuenBabysitters',7.90,sBase,Manga, 'Shoujo',"['Comedy', 'Childcare', 'Iyashikei', 'School', 'Shoujo']","['FurukiNozomi', 'NozomiUmehara', 'UmeharaYuuichirou', 'YuuichirouNishiyama', 'NishiyamaKoutarou', 'KoutarouSanpei', 'SanpeiYuuko', 'YuukoTanezaki', 'TanezakiAtsumi', 'AtsumiMaeno', 'MaenoTomoaki', 'TomoakiOno', 'OnoDaisuke', 'DaisukeAkesaka', 'AkesakaSatomi', 'SatomiKohara', 'KoharaKonomi', 'KonomiOta', 'OtaMotohiro']"
'34279','GrancrestSenki',7.22,A-1Pictures,Lightnovel, 'n/a',"['Action', 'Drama', 'Fantasy', 'Romance']","['KitouAkari', 'AkariKumagai', 'KumagaiKentarou', 'KentarouUeda', 'UedaReina', 'ReinaKayano', 'KayanoAi', 'AiNakamura', 'NakamuraYuuichi', 'YuuichiSakurai', 'SakuraiTakahiro', 'TakahiroHino', 'HinoSatoshi', 'SatoshiKaida', 'KaidaYuuko', 'YuukoHatano', 'HatanoWataru', 'WataruIguchi', 'IguchiYuuichi']"
'34984','KoiwaAmeagarinoYouni',7.50,WitStudio,Manga, 'Seinen',"['Drama', 'Romance', 'SliceofLife', 'Workplace', 'Seinen']","['WatabeSayumi', 'SayumiHirata', 'HirataHiroaki', 'HiroakiFukuhara', 'FukuharaHaruka', 'HarukaMiyamoto', 'MiyamotoMitsuru', 'MitsuruMiyajima', 'MiyajimaEmi', 'EmiMaeno', 'MaenoTomoaki', 'TomoakiIkeda', 'IkedaJunya', 'JunyaTakeuchi', 'TakeuchiJunko', 'JunkoSawashiro', 'SawashiroChiharu', 'ChiharuMurai', 'MuraiYuuji']"
'33047','Fate/Extra:LastEncore',6.28,Shaft,Game, 'n/a',"['Action', 'Fantasy']","['TangeSakura', 'SakuraAbe', 'AbeAtsushi', 'AtsushiUeda', 'UedaKana', 'KanaShitaya', 'ShitayaNoriko', 'NorikoNakata', 'NakataJouji', 'JoujiKamiya', 'KamiyaHiroshi', 'HiroshiIshikawa', 'IshikawaYui', 'YuiNonaka', 'NonakaAi', 'AiTakano', 'TakanoUrara', 'UraraToriumi', 'ToriumiKousuke']"
'35330','Poputepipikku',7.28,KamikazeDouga,4-komamanga, 'n/a',"['Comedy', 'GagHumor', 'Parody']","['KomatsuMikako', 'MikakoUesaka', 'UesakaSumire', 'SumireOgura', 'OguraYui', 'YuiYamashita', 'YamashitaSeiichirou', 'SeiichirouSaitou', 'SaitouAya', 'AyaOgami', 'OgamiShinnosuke', 'ShinnosukeKamio', 'KamioShinichirou', 'ShinichirouShimoji', 'ShimojiShino', 'ShinoMinase', 'MinaseInori', 'InoriOono', 'OonoYuuko']"
'36838','Gintama.:ShiroganenoTamashii-hen',8.81,BandaiNamcoPictures,Manga, 'Shounen',"['Action', 'Comedy', 'Sci-Fi', 'GagHumor', 'Historical', 'Parody', 'Samurai', 'Shounen']","['SugitaTomokazu', 'TomokazuKugimiya', 'KugimiyaRie', 'RieSakaguchi', 'SakaguchiDaisuke', 'DaisukeIshida', 'IshidaAkira', 'AkiraNakai', 'NakaiKazuya', 'KazuyaSuzumura', 'SuzumuraKenichi', 'KenichiKoyasu', 'KoyasuTakehito', 'TakehitoKaida', 'KaidaYuuko', 'YuukoTachiki', 'TachikiFumihiko']"
