Id,Anime Title,Rating,Studio,Source Material,Demographic,Genre,VAs,soup
'38276','HoukagoSaikoroClub',6.7,LIDENFILMS,Manga, 'Shounen',"['Comedy', 'CGDCT', 'School', 'StrategyGame', 'Shounen']","['MiyashitaSaki', 'SakiTomita', 'TomitaMiyu', 'MiyuKouno', 'KounoMarika', 'MarikaIchimichi', 'IchimichiMao', 'MaoKuroda', 'KurodaTakaya', 'TakayaHorie', 'HorieShun', 'ShunUeda', 'UedaYouji', 'YoujiAmasaki', 'AmasakiKouhei', 'KouheiMatsui', 'MatsuiEriko', 'ErikoYashiro', 'YashiroTaku']",HoukagoSaikoroClub LIDENFILMS Manga Comedy CGDCT School StrategyGame Shounen MiyashitaSaki SakiTomita TomitaMiyu MiyuKouno KounoMarika MarikaIchimichi IchimichiMao MaoKuroda KurodaTakaya TakayaHorie HorieShun ShunUeda UedaYouji YoujiAmasaki AmasakiKouhei KouheiMatsui MatsuiEriko ErikoYashiro YashiroTaku
'3091','xxxHOLiC:Kei',8.22,ProductionI.G,Manga, 'Seinen',"['Comedy', 'Drama', 'Mystery', 'Supernatural', 'Psychological', 'Seinen']","['OharaSayaka', 'SayakaFukuyama', 'FukuyamaJun', 'JunNakai', 'NakaiKazuya', 'KazuyaItou', 'ItouShizuka', 'ShizukaKikuchi', 'KikuchiMika', 'MikaMutou', 'MutouSumi', 'SumiKojima', 'KojimaKazuko', 'KazukoHidaka', 'HidakaRina']",xxxHOLiC:Kei ProductionI.G Manga Comedy Drama Mystery Supernatural Psychological Seinen OharaSayaka SayakaFukuyama FukuyamaJun JunNakai NakaiKazuya KazuyaItou ItouShizuka ShizukaKikuchi KikuchiMika MikaMutou MutouSumi SumiKojima KojimaKazuko KazukoHidaka HidakaRina
'237','KoukyoushihenEurekaSeven',8.06,Bones,Original, 'n/a',"['Adventure', 'Drama', 'Romance', 'Sci-Fi', 'Mecha']","['NazukaKaori', 'KaoriSanpei', 'SanpeiYuuko', 'YuukoFujiwara', 'FujiwaraKeiji', 'KeijiNeya', 'NeyaMichiko', 'MichikoKoshimizu', 'KoshimizuAmi', 'AmiYamazaki', 'YamazakiShigenori', 'ShigenoriKosugi', 'KosugiJuurouta', 'JuuroutaHisakawa', 'HisakawaAya', 'AyaMiyano', 'MiyanoMamoru', 'MamoruMatsumoto', 'MatsumotoYasunori']",KoukyoushihenEurekaSeven Bones Original Adventure Drama Romance Sci-Fi Mecha NazukaKaori KaoriSanpei SanpeiYuuko YuukoFujiwara FujiwaraKeiji KeijiNeya NeyaMichiko MichikoKoshimizu KoshimizuAmi AmiYamazaki YamazakiShigenori ShigenoriKosugi KosugiJuurouta JuuroutaHisakawa HisakawaAya AyaMiyano MiyanoMamoru MamoruMatsumoto MatsumotoYasunori
'23135','PriPara',7.47,TatsunokoProductionDongwooA&E,Game, 'Shoujo',"['SliceofLife', 'Idols', '(Female)', 'Music', 'School', 'Shoujo']","['AkaneyaHimika', 'HimikaKubota', 'KubotaMiyu', 'MiyuSerizawa', 'SerizawaYuu', 'YuuAkasaki', 'AkasakiChinatsu', 'ChinatsuMakino', 'MakinoYui', 'YuiWakai', 'WakaiYuuki', 'YuukiSaiga', 'SaigaMitsuki', 'MitsukiWatanabe', 'WatanabeYui', 'YuiYamakita', 'YamakitaSaki', 'SakiShibuya', 'ShibuyaAzuki']",PriPara TatsunokoProductionDongwooA&E Game SliceofLife Idols (Female) Music School Shoujo AkaneyaHimika HimikaKubota KubotaMiyu MiyuSerizawa SerizawaYuu YuuAkasaki AkasakiChinatsu ChinatsuMakino MakinoYui YuiWakai WakaiYuuki YuukiSaiga SaigaMitsuki MitsukiWatanabe WatanabeYui YuiYamakita YamakitaSaki SakiShibuya ShibuyaAzuki
'1104','ShinkonGattaiGodannar!!2ndSeason',6.91,OLMAICASTA,Original, 'n/a',"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi', 'Mecha']","['WeaverBrett', 'BrettNakahara', 'NakaharaMai', 'MaiKakazu', 'KakazuYumi', 'YumiHonda', 'HondaTakako', 'TakakoShimizu', 'ShimizuKaori', 'KaoriHisakawa', 'HisakawaAya', 'AyaYamada', 'YamadaMiho', 'MihoHiyama', 'HiyamaNobuyuki', 'NobuyukiKawakami', 'KawakamiTomoko']",ShinkonGattaiGodannar!!2ndSeason OLMAICASTA Original Comedy Romance Sci-Fi Ecchi Mecha WeaverBrett BrettNakahara NakaharaMai MaiKakazu KakazuYumi YumiHonda HondaTakako TakakoShimizu ShimizuKaori KaoriHisakawa HisakawaAya AyaYamada YamadaMiho MihoHiyama HiyamaNobuyuki NobuyukiKawakami KawakamiTomoko
'12445','TasogareOtomexAmnesia',7.83,SILVERLINK.,Manga, 'Shounen',"['Horror', 'Mystery', 'Romance', 'Supernatural', 'School', 'Shounen']","['HaraYumi', 'YumiYonaga', 'YonagaTsubasa', 'TsubasaKitamura', 'KitamuraEri', 'EriFukuen', 'FukuenMisato', 'MisatoTakashima', 'TakashimaGara', 'GaraKoshimizu', 'KoshimizuAmi', 'AmiNaka', 'NakaHiroshi', 'HiroshiShiraishi', 'ShiraishiYouko', 'YoukoSuzuki', 'SuzukiKonomi', 'KonomiOgasawara', 'OgasawaraSaki']",TasogareOtomexAmnesia SILVERLINK. Manga Horror Mystery Romance Supernatural School Shounen HaraYumi YumiYonaga YonagaTsubasa TsubasaKitamura KitamuraEri EriFukuen FukuenMisato MisatoTakashima TakashimaGara GaraKoshimizu KoshimizuAmi AmiNaka NakaHiroshi HiroshiShiraishi ShiraishiYouko YoukoSuzuki SuzukiKonomi KonomiOgasawara OgasawaraSaki
'25159','Inou-BattlewaNichijou-keinoNakade',7.07,Trigger,Lightnovel, 'n/a',"['Comedy', 'Supernatural', 'Harem', 'School']","['HayamiSaori', 'SaoriOkamoto', 'OkamotoNobuhiko', 'NobuhikoYamazaki', 'YamazakiHaruka', 'HarukaYamashita', 'YamashitaNanami', 'NanamiTaneda', 'TanedaRisa', 'RisaFukuhara', 'FukuharaKaori', 'KaoriTerashima', 'TerashimaTakuma', 'TakumaKatou', 'KatouEmiri', 'EmiriMurakawa', 'MurakawaRie', 'RieMorohoshi', 'MorohoshiSumire']",Inou-BattlewaNichijou-keinoNakade Trigger Lightnovel Comedy Supernatural Harem School HayamiSaori SaoriOkamoto OkamotoNobuhiko NobuhikoYamazaki YamazakiHaruka HarukaYamashita YamashitaNanami NanamiTaneda TanedaRisa RisaFukuhara FukuharaKaori KaoriTerashima TerashimaTakuma TakumaKatou KatouEmiri EmiriMurakawa MurakawaRie RieMorohoshi MorohoshiSumire
'3841',"""Chi'sSweetHome""",7.67,Madhouse,Manga, 'Seinen',"['Comedy', 'SliceofLife', 'Pets', 'Seinen']","['KoorogiSatomi', 'SatomiKozakura', 'KozakuraEtsuko', 'EtsukoKiuchi', 'KiuchiHidenobu', 'HidenobuHidaka', 'HidakaNoriko', 'NorikoYanada', 'YanadaKiyoyuki', 'KiyoyukiHoranai', 'HoranaiAi', 'AiKawahara', 'KawaharaYoshihisa', 'YoshihisaMisono', 'MisonoYukihiro', 'YukihiroSato', 'SatoIkumi']",ChisSweetHome Madhouse Manga Comedy SliceofLife Pets Seinen KoorogiSatomi SatomiKozakura KozakuraEtsuko EtsukoKiuchi KiuchiHidenobu HidenobuHidaka HidakaNoriko NorikoYanada YanadaKiyoyuki KiyoyukiHoranai HoranaiAi AiKawahara KawaharaYoshihisa YoshihisaMisono MisonoYukihiro YukihiroSato SatoIkumi
'1810','KyoushiroutoTowanoSora',6.42,TNK,Manga, 'Shounen',"['Drama', 'Romance', 'Shounen']","['MatsuokaYuki', 'YukiKonishi', 'KonishiKatsuyuki', 'KatsuyukiYahagi', 'YahagiSayuri', 'SayuriKawasumi', 'KawasumiAyako', 'AyakoShitaya', 'ShitayaNoriko', 'NorikoNarita', 'NaritaKen', 'KenTanaka', 'TanakaAtsuko', 'AtsukoOgata', 'OgataMegumi', 'MegumiSatou', 'SatouRina', 'RinaMochizuki', 'MochizukiHisayo']",KyoushiroutoTowanoSora TNK Manga Drama Romance Shounen MatsuokaYuki YukiKonishi KonishiKatsuyuki KatsuyukiYahagi YahagiSayuri SayuriKawasumi KawasumiAyako AyakoShitaya ShitayaNoriko NorikoNarita NaritaKen KenTanaka TanakaAtsuko AtsukoOgata OgataMegumi MegumiSatou SatouRina RinaMochizuki MochizukiHisayo
'17249','PrettyRhythm:RainbowLive',7.55,TatsunokoProductionDongwooA&E,Game, 'Shoujo',"['SliceofLife', 'Sports', 'Idols', '(Female)', 'Music', 'Shoujo']","['KatouEmiri', 'EmiriSakura', 'SakuraAyane', 'AyaneTomatsu', 'TomatsuHaruka', 'HarukaUchida', 'UchidaMaaya', 'MaayaGotou', 'GotouSaori', 'SaoriSerizawa', 'SerizawaYuu', 'YuuKomatsu', 'KomatsuMikako', 'MikakoMaeno', 'MaenoTomoaki', 'TomoakiKakihara', 'KakiharaTetsuya', 'TetsuyaMasuda', 'MasudaToshiki']",PrettyRhythm:RainbowLive TatsunokoProductionDongwooA&E Game SliceofLife Sports Idols (Female) Music Shoujo KatouEmiri EmiriSakura SakuraAyane AyaneTomatsu TomatsuHaruka HarukaUchida UchidaMaaya MaayaGotou GotouSaori SaoriSerizawa SerizawaYuu YuuKomatsu KomatsuMikako MikakoMaeno MaenoTomoaki TomoakiKakihara KakiharaTetsuya TetsuyaMasuda MasudaToshiki
